id,company_id,entry_number,entry_date,description,source_module,source_id,is_adjusting,is_reversal,posted
a8ee5c07-a0d7-4c66-9589-862e6be56470,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,1,2024-04-06,Opening balance — owner's equity contribution,company,,False,False,True
4ce3f821-1ded-4a0d-bff9-71535efdd2ea,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,2,2024-04-08,Sales invoice issued,sales,a2b651d1-e824-46cc-b775-46f4ea5b788e,False,False,True
e2ad6339-dffb-4dba-af71-3c31fbc58cfe,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,3,2024-04-08,Sales invoice issued,sales,4acf8d94-83dd-47a7-8ef5-f2249b05e6fe,False,False,True
c147a972-fb1f-4b3a-8f7a-4f7c9589a513,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,4,2024-04-10,Sales invoice issued,sales,e2dea84d-421b-4f65-8892-9ceb7026f5be,False,False,True
09f6bb60-51bd-4de9-9f02-23e0db972b37,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,5,2024-04-11,Sales invoice issued,sales,b3059517-a8e5-4f50-a2c4-dd0f66103abd,False,False,True
1499463b-2839-4717-986c-d85cabb6f54b,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,6,2024-04-15,Payroll processed,payroll,cc19ba59-fb5b-4e88-830f-30632fcfee90,False,False,True
9873fb90-1471-40b8-a621-739a085a8584,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,7,2024-04-15,Sales invoice issued,sales,d37a5851-e1ec-4b05-9698-79289f2f6892,False,False,True
83650c7c-ae08-4099-a5d5-c2abf8b0605b,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,8,2024-04-15,Supplier invoice received,purchasing,244c9f44-488e-4bb1-ad6c-332564c35d11,False,False,True
92d5dc0f-f975-4de6-8840-e1ddc7ea91cc,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,9,2024-04-17,Sales invoice issued,sales,c4e71b4a-9c14-48b7-a963-7736218c7f01,False,False,True
b31ef306-3336-493a-9780-89f65ba0c163,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,10,2024-04-17,Sales invoice issued,sales,b15bf0b4-9ebe-4dd2-84bc-9353780818f0,False,False,True
c708d867-5d87-44e5-aa83-2a0fb0a2f468,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,11,2024-04-18,Sales invoice issued,sales,4f714834-a2b4-4a8b-9d3a-59384c3418ce,False,False,True
e365e1b1-e6b8-41cb-9a71-abafbfacffa7,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,12,2024-04-18,Sales invoice issued,sales,e819cfb2-cbff-43a0-bd6d-8fb78fc08fd6,False,False,True
c168f89f-4088-41bc-9f9d-15c75dc53c51,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,13,2024-04-19,Sales invoice issued,sales,78805a8f-5acb-4b68-bc75-dabd971f303a,False,False,True
2eada1c7-fdb7-4d4c-b9f3-e84db07b974c,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,14,2024-04-19,Sales invoice issued,sales,6bc3f1c5-351c-469b-89f9-34d3ee6cc5bc,False,False,True
38374c23-1f97-4bdd-ad26-a76841bc85c4,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,15,2024-04-19,Sales invoice issued,sales,684f77eb-b19c-4127-8449-3f10a0e4cb76,False,False,True
4c0836ac-e65d-4df8-9607-b1ce4ff01bd4,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,16,2024-04-19,Supplier payment made,purchasing,c1ac7e19-6d30-4c6d-b355-96f2e0bc6cfa,False,False,True
e6603ad4-9ed0-466a-88c8-a6571845f535,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,17,2024-04-22,Sales invoice issued,sales,e426b8f2-009c-41af-bb48-ac5054f62753,False,False,True
adb4ca77-c5a5-4758-bf8c-0c18c5115ca0,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,18,2024-04-22,Sales invoice issued,sales,01cfd7ae-4093-42f9-a44d-917b08943ecd,False,False,True
6c2d267f-609a-4281-8820-3b50526a358c,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,19,2024-04-22,Sales invoice issued,sales,73e277cf-6147-4773-a07b-75e9f3f3abe4,False,False,True
1413aeb5-1fee-4f5b-bb18-130ab6201fce,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,20,2024-04-22,Sales invoice issued,sales,e53d7db7-d232-47ea-aacb-7d474f1c29f8,False,False,True
6f53bc94-c087-4887-a99a-135b50093623,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,21,2024-04-23,Sales invoice issued,sales,de41d71b-1e7a-40d6-b68e-95e94367df05,False,False,True
11a6f0a3-6096-417d-a137-d615ee356b50,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,22,2024-04-24,Sales invoice issued,sales,6f7857f6-37f1-4daa-85f8-f08fa9191ec9,False,False,True
5fd76cbb-b435-4b4c-874a-6171cf3ce8f5,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,23,2024-04-24,Sales invoice issued,sales,ed45b842-9062-4f36-9202-ad2a6fef2cdb,False,False,True
155e517b-f709-48bc-a7d3-f98f9a3bb1e4,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,24,2024-04-24,Customer payment received,sales,cec99510-fd1a-41bb-9f45-0d73929ba669,False,False,True
a3fbc031-7b62-4d5c-81d7-532d983a4cca,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,25,2024-04-25,Sales invoice issued,sales,c4bca0fc-46b0-497c-be86-3c68beabde5d,False,False,True
9cc36cfc-aa20-4fed-b5ef-22298d6bb2eb,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,26,2024-04-25,Customer payment received,sales,2fe4c033-33c7-4316-8be0-901ae664c02e,False,False,True
216ef851-365d-4a30-9036-30af4c24b535,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,27,2024-04-25,Supplier invoice received,purchasing,431bf45c-c142-4bc2-9d66-66c88ca33294,False,False,True
